month,year,lineName,station,feePassenger,freePassenegr,totalPassenger
201803,2018,안산선,대야미,112596,25887,138483
201803,2018,안산선,수리산,109575,32963,142538
201803,2018,안산선,신길온천,47129,9420,56549
201803,2018,안산선,반월,122764,29577,152341
201803,2018,안산선,산본,466663,105986,572649
201803,2018,안산선,한대앞,270777,41723,312500
201803,2018,안산선,안산,481876,44613,526489
201803,2018,안산선,오이도,275334,37318,312652
201803,2018,안산선,정왕,289379,24177,313556
201803,2018,안산선,중앙,510538,60834,571372
201803,2018,안산선,초지,145798,16175,161973
201803,2018,안산선,상록수,600785,88754,689539
201803,2018,우이신설선,4.19민주묘지,79007,27337,106344
201803,2018,우이신설선,가오리,77144,42784,119928
201803,2018,우이신설선,성신여대입구(돈암),96091,31932,128023
201803,2018,우이신설선,솔밭공원,46336,24623,70959
201803,2018,우이신설선,솔샘,129232,32935,162167
201803,2018,우이신설선,보문,32036,14959,46995
201803,2018,우이신설선,화계,57156,36225,93381
201803,2018,우이신설선,북한산우이,58493,31283,89776
201803,2018,우이신설선,삼양,37607,25513,63120
201803,2018,우이신설선,삼양사거리,38238,31947,70185
201803,2018,우이신설선,신설동,34133,16418,50551
201803,2018,우이신설선,정릉,88041,41614,129655
201803,2018,우이신설선,북한산보국문,144451,39793,184244
201803,2018,일산선,마두,187242,81171,268413
201803,2018,일산선,화정,489304,137398,626702
201803,2018,일산선,대화,392149,98105,490254
201803,2018,일산선,대곡,41135,11198,52333
201803,2018,일산선,주엽,209435,100260,309695
201803,2018,일산선,정발산,216210,59985,276195
201803,2018,일산선,원흥,216442,45243,261685
201803,2018,일산선,원당,299489,91124,390613
201803,2018,일산선,삼송,421770,89857,511627
201803,2018,일산선,백석,291277,82918,374195
201803,2018,장항선,쌍용(나사렛대),77055,17009,94064
201803,2018,장항선,신창(순천향대),82734,8401,91135
201803,2018,장항선,온양온천,98339,67706,166045
201803,2018,장항선,봉명,30679,14511,45190
201803,2018,장항선,아산,100505,10855,111360
201803,2018,장항선,배방,26415,8070,34485
201803,2018,중앙선,덕소,152670,52622,205292
201803,2018,중앙선,회기,861683,135885,997568
201803,2018,중앙선,도심,64538,21136,85674
201803,2018,중앙선,망우,190694,72413,263107
201803,2018,중앙선,구리,347445,87692,435137
201803,2018,중앙선,국수,19133,9387,28520
201803,2018,중앙선,상봉(시외버스터미널),151731,40146,191877
201803,2018,중앙선,신원,4373,3210,7583
201803,2018,중앙선,아신,17851,5963,23814
201803,2018,중앙선,양수,43465,19266,62731
201803,2018,중앙선,양원,39544,17179,56723
201803,2018,중앙선,양정,18489,8651,27140
201803,2018,중앙선,양평,79500,36170,115670
201803,2018,중앙선,오빈,6517,4180,10697
201803,2018,중앙선,용문,43218,40303,83521
201803,2018,중앙선,운길산,19637,7984,27621
201803,2018,1호선,동대문,344838,144807,489645
201803,2018,1호선,동묘앞,186399,161159,347558
201803,2018,1호선,시청,661782,111157,772939
201803,2018,1호선,서울역,1455338,228041,1683379
201803,2018,1호선,청량리(서울시립대입구),523932,332933,856865
201803,2018,1호선,제기동,303632,349589,653221
201803,2018,1호선,종각,1236445,170206,1406651
201803,2018,1호선,종로3가,698691,401375,1100066
201803,2018,1호선,종로5가,557447,302624,860071
201803,2018,1호선,신설동,389298,132858,522156
201803,2018,2호선,강남,3034426,183497,3217923
201803,2018,2호선,홍대입구,2470011,122278,2592289
201803,2018,2호선,건대입구,1394861,102806,1497667
201803,2018,2호선,도림천,31239,6580,37819
201803,2018,2호선,동대문역사문화공원,540948,64548,605496
201803,2018,2호선,뚝섬,476502,68513,545015
201803,2018,2호선,교대(법원.검찰청),986389,179200,1165589
201803,2018,2호선,구로디지털단지,1803465,178348,1981813
201803,2018,2호선,구의(광진구청),649073,112520,761593
201803,2018,2호선,낙성대,864570,117594,982164
201803,2018,2호선,당산,603961,72675,676636
201803,2018,2호선,대림(구로구청),825496,123373,948869
201803,2018,2호선,서초,637541,94228,731769
201803,2018,2호선,선릉,1492095,224007,1716102
201803,2018,2호선,성수,741914,108149,850063
201803,2018,2호선,시청,704871,67465,772336
201803,2018,2호선,문래,526025,90157,616182
201803,2018,2호선,방배,609333,87264,696597
201803,2018,2호선,봉천,597792,158677,756469
201803,2018,2호선,사당,1128276,223582,1351858
201803,2018,2호선,삼성(무역센터),1684625,131921,1816546
201803,2018,2호선,상왕십리,375885,71020,446905
201803,2018,2호선,서울대입구(관악구청),1525004,220064,1745068
201803,2018,2호선,신답,34476,10985,45461
